RBB321ARuListWithoutBand:
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUS01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUS01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUS01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUS01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUS01, Band:1), RU3: (RuType:RRUS01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUS01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUS01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUS01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUS01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW01, Band:1), RU2: (RuType:RRUW01, Band:1), RU3: (RuType:RRUW01, Band:1), 
RU1: (RuType:RRUW03, Band:1), RU2: (RuType:RRUW03, Band:1), RU3: (RuType:RRUW03, Band:1), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS01, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS01, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS01, Band:2), 
RU1: (RuType:RUS02, Band:2), RU2: (RuType:RUS02, Band:2), RU3: (RuType:RUS02, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUS01, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUS01, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUS01, Band:2), 
RU1: (RuType:RRUW02, Band:2), RU2: (RuType:RRUW02, Band:2), RU3: (RuType:RRUW02, Band:2), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS03, Band:3), 
